CAP;NOME_COM;COD_COM;DATA;PM10_DAILY_ugm-3;PM2p5_DAILY_ugm-3;NOx_DAILY_ugm-3;SO2_DAILY_ugm-3;O3_DAILY_ugm-3;NMVOC_DAILY_ugm-3;TMIN_DAILY_C;TMAX_DAILY_C;RHMIN_DAILY_%;RHMAX_DAILY_%;PREC_DAILY_mm;SSWTOT_DAILY_Whm-2
25121;BRESCIA;17029;01/01/18;53;45;61;2;3;42;2.1;5.3;85;96;15.7;698
25121;BRESCIA;17029;02/01/18;33;26;77;2;12;25;1.8;12.8;40;97;0.0;1901
25121;BRESCIA;17029;03/01/18;35;22;112;2;8;29;1.9;8.6;49;92;2.0;1248
25121;BRESCIA;17029;04/01/18;41;33;112;2;13;31;3.5;10.2;68;92;0.0;1749
25121;BRESCIA;17029;05/01/18;54;38;117;2;5;38;2.5;9.5;74;92;0.0;1048
25121;BRESCIA;17029;06/01/18;49;39;101;1;4;26;6.3;8.6;93;99;2.3;518
25121;BRESCIA;17029;07/01/18;40;33;82;2;9;15;7.5;13.5;78;99;0.0;1229
25121;BRESCIA;17029;08/01/18;21;16;36;2;28;8;8.8;14.9;66;92;3.0;1384
25121;BRESCIA;17029;09/01/18;29;15;35;2;34;15;9.4;16.0;70;93;12.2;1470
25121;BRESCIA;17029;10/01/18;28;17;82;2;20;38;7.2;12.0;72;94;0.0;1759
25121;BRESCIA;17029;11/01/18;38;31;89;2;8;36;5.9;10.8;70;95;0.0;1390
25121;BRESCIA;17029;12/01/18;42;27;114;2;11;37;5.2;11.8;56;88;0.0;1980
25121;BRESCIA;17029;13/01/18;46;33;94;2;9;35;3.1;10.6;63;90;0.0;2119
25121;BRESCIA;17029;14/01/18;49;38;68;2;2;33;2.5;7.9;68;89;0.0;1158
25121;BRESCIA;17029;15/01/18;61;50;121;2;4;42;3.3;6.2;83;95;0.0;1000
25121;BRESCIA;17029;16/01/18;68;55;111;2;0;51;2.5;8.3;76;96;0.0;1212
25121;BRESCIA;17029;17/01/18;44;34;71;2;25;33;2.3;12.4;26;96;0.7;1932
25121;BRESCIA;17029;18/01/18;33;22;106;3;18;25;2.0;12.1;42;77;0.0;2246
25121;BRESCIA;17029;19/01/18;48;34;140;3;6;41;2.1;10.1;60;84;0.0;2221
25121;BRESCIA;17029;20/01/18;48;34;92;2;13;27;2.4;8.9;65;85;0.0;1983
25121;BRESCIA;17029;21/01/18;32;25;58;2;31;17;2.8;11.3;47;90;0.3;2377
25121;BRESCIA;17029;22/01/18;37;26;94;3;20;27;3.9;10.7;47;79;0.1;2344
25121;BRESCIA;17029;23/01/18;53;38;99;3;3;47;1.9;10.5;57;84;0.0;2292
25121;BRESCIA;17029;24/01/18;62;47;117;3;3;56;2.9;10.9;65;88;0.1;2428
25121;BRESCIA;17029;25/01/18;79;60;144;3;0;75;4.9;8.0;76;94;0.0;636
25121;BRESCIA;17029;26/01/18;89;74;116;2;0;39;5.8;9.0;82;96;0.3;1164
25121;BRESCIA;17029;27/01/18;64;55;104;2;1;38;7.0;10.0;88;94;0.0;1570
25121;BRESCIA;17029;28/01/18;52;42;71;2;3;55;4.8;12.3;75;96;0.0;2538
25121;BRESCIA;17029;29/01/18;63;49;174;2;0;67;2.2;10.7;83;98;0.0;2457
25121;BRESCIA;17029;30/01/18;50;41;133;1;5;42;2.9;10.6;96;99;0.0;1175
25121;BRESCIA;17029;31/01/18;61;49;98;2;3;62;5.9;8.9;88;98;0.0;1177
25121;BRESCIA;17029;01/02/18;33;25;83;2;4;37;6.9;8.4;94;97;3.8;582
25121;BRESCIA;17029;02/02/18;24;17;64;2;15;29;4.2;7.9;88;97;1.0;1058
25121;BRESCIA;17029;03/02/18;26;22;49;2;12;31;3.8;7.5;78;96;0.1;1415
25121;BRESCIA;17029;04/02/18;22;18;31;1;28;17;1.2;11.6;57;94;0.4;2602
25121;BRESCIA;17029;05/02/18;20;17;36;1;33;17;4.0;8.3;56;86;3.2;1097
25121;BRESCIA;17029;06/02/18;26;19;57;2;15;24;2.4;8.0;72;95;0.4;936
25121;BRESCIA;17029;07/02/18;42;30;79;2;7;53;3.3;7.9;84;96;0.0;1404
25121;BRESCIA;17029;08/02/18;53;41;103;3;8;52;1.4;11.5;74;96;0.0;2300
25121;BRESCIA;17029;09/02/18;49;39;70;3;11;49;4.3;9.1;78;93;4.5;1149
25121;BRESCIA;17029;10/02/18;52;41;55;2;18;42;2.9;10.6;68;93;0.0;3001
25121;BRESCIA;17029;11/02/18;47;37;43;2;19;37;-0.7;8.1;64;93;0.0;1753
25121;BRESCIA;17029;12/02/18;38;28;41;2;25;38;1.8;8.9;69;94;7.6;1822
25121;BRESCIA;17029;13/02/18;23;18;57;2;21;30;1.1;8.3;44;90;0.0;2477
25121;BRESCIA;17029;14/02/18;38;29;68;2;21;28;-0.6;8.5;47;80;0.0;3455
25121;BRESCIA;17029;15/02/18;56;42;77;3;14;38;0.2;8.5;50;82;3.2;2806
25121;BRESCIA;17029;16/02/18;85;65;113;3;6;56;0.4;9.3;59;83;0.0;3067
25121;BRESCIA;17029;17/02/18;79;62;79;3;10;50;2.1;8.8;60;88;0.2;1504
25121;BRESCIA;17029;18/02/18;58;49;42;2;17;40;4.0;7.2;79;95;1.9;1188
25121;BRESCIA;17029;19/02/18;31;22;57;2;22;35;3.7;5.7;68;89;0.0;878
25121;BRESCIA;17029;20/02/18;40;33;54;2;20;30;1.3;8.5;58;87;0.0;3193
25121;BRESCIA;17029;21/02/18;53;42;66;3;16;35;2.3;8.7;58;86;0.0;2688
